sample	indiv	day	health	score	location
I03_5.08_S_2	I03	day03	S	2	int
I03_5.11_S_4	I03	day06	S	4	int
I07_5.08_S_1	I07	day03	S	1	int
I08_5.08_H_0	I08	day03	H	0	int
I08_5.11_S_1	I08	day06	S	1	int
I08_5.14_S_1	I08	day09	S	1	int
I08_5.17_S_2	I08	day12	S	2	int
I08_5.20_S_3	I08	day15	S	3	int
I09_5.08_H_0	I09	day03	H	0	int
I09_5.14_S_2	I09	day09	S	2	int
I09_5.17_S_2	I09	day12	S	2	int
I09_5.20_S_5	I09	day15	S	5	int
I10_5.08_H_0	I10	day03	H	0	int
I10_5.14_H_0	I10	day09	H	0	int
I10_5.17_H_0	I10	day12	H	0	int
I10_5.20_S_2	I10	day15	S	2	int
I14_5.08_S_2	I14	day03	S	2	int
I14_5.11_S_2	I14	day06	S	2	int
I15_5.08_H_0	I15	day03	H	0	int
I15_5.11_H_0	I15	day06	H	0	int
I15_5.14_H_0	I15	day09	H	0	int
I15_5.20_S_3	I15	day15	S	3	int
I19_5.11_H_0	I19	day06	H	0	int
I19_5.14_H_0	I19	day09	H	0	int
I19_5.17_H_0	I19	day12	H	0	int
I19_5.20_S_5	I19	day15	S	5	int
I20_5.08_H_0	I20	day03	H	0	int
I20_5.11_H_0	I20	day06	H	0	int
I20_5.14_H_0	I20	day09	H	0	int
I20_5.17_H_0	I20	day12	H	0	int
I20_5.20_S_2	I20	day15	S	2	int
I22_5.08_S_1	I22	day03	S	1	int
I24_5.11_H_0	I24	day06	H	0	int
I24_5.14_H_0	I24	day09	H	0	int
I24_5.17_H_0	I24	day12	H	0	int
I26_5.08_S_2	I26	day03	S	2	int
I26_5.11_S_3	I26	day06	S	3	int
I27_5.08_H_0	I27	day03	H	0	int
I27_5.11_H_0	I27	day06	H	0	int
I27_5.14_H_0	I27	day09	H	0	int
I27_5.20_H_0	I27	day15	H	0	int
I28_5.08_S_1	I28	day03	S	1	int
I28_5.11_S_1	I28	day06	S	1	int
I28_5.14_S_2	I28	day09	S	2	int
I29_5.08_S_2	I29	day03	S	2	int
I29_5.11_S_2	I29	day06	S	2	int
I29_5.14_S_2	I29	day09	S	2	int
I31_6.12_H_0	I31	day03	H	0	sub
I31_6.15_H_0	I31	day06	H	0	sub
I31_6.18_H_0	I31	day09	H	0	sub
I31_6.21_H_0	I31	day12	H	0	sub
I31_6.24_H_0	I31	day15	H	0	sub
I32_6.12_H_0	I32	day03	H	0	sub
I32_6.15_H_0	I32	day06	H	0	sub
I32_6.18_H_0	I32	day09	H	0	sub
I32_6.21_H_0	I32	day12	H	0	sub
I33_6.12_H_0	I33	day03	H	0	sub
I33_6.15_H_0	I33	day06	H	0	sub
I33_6.18_H_0	I33	day09	H	0	sub
I33_6.21_H_0	I33	day12	H	0	sub
I33_6.24_H_0	I33	day15	H	0	sub
I34_6.12_H_0	I34	day03	H	0	sub
I34_6.15_H_0	I34	day06	H	0	sub
I34_6.18_H_0	I34	day09	H	0	sub
I34_6.21_H_0	I34	day12	H	0	sub
I35_6.12_H_0	I35	day03	H	0	sub
I35_6.15_H_0	I35	day06	H	0	sub
I35_6.18_H_0	I35	day09	H	0	sub
I35_6.21_H_0	I35	day12	H	0	sub
I36_6.12_S_1	I36	day03	S	1	sub
I36_6.15_S_2	I36	day06	S	2	sub
I36_6.18_S_3	I36	day09	S	3	sub
I37_6.12_H_0	I37	day03	H	0	sub
I37_6.15_S_1	I37	day06	S	1	sub
I37_6.18_H_0	I37	day09	H	0	sub
I38_6.12_H_0	I38	day03	H	0	sub
